Spiel Nr.,Runde Nr.,Banner Striche,Banner Punkte,AGMüller Striche,AGMüller Punkte,Champion Striche,Champion Punkte,Verfolger Striche,Verfolger Punkte,Partner von Verfolger,Datum,Ort,Lat,Lon
10,3,2,6521,9,7729,6,7517,9,7499,Champion,03.05.2016,Minimum,47.38185,8.495515
10,4,5,9085,9,9396,6,9184,12,10063,Banner,31.05.2016,Europa,47.366566,8.55765
10,5,8,11619,11,11713,9,11718,14,12380,AGMüller,09.08.2016,Rietberg,47.358295,8.527178
10,6,8,13343,11,13447,13,14413,18,15075,Champion,06.09.2016,Schwarzer Bären,47.382204,8.483911
11,1,0,2315,3,2702,3,2702,0,2315,Banner,25.10.2016,Texas Steakhouse,47.390957,8.478495
11,2,0,3506,3,3893,8,5254,5,4867,Champion,22.11.2016,Freilager,47.379712,8.489605
11,3,4,6316,4,5429,12,8064,6,6493,AGMüller,04.01.2017,Cheyenne,47.40994,8.545726
11,4,7,8849,4,7577,12,10202,9,9026,Banner,31.01.2017,Hirschen,47.404033,8.57191
11,5,11,11407,8,10145,12,12610,9,11434,Champion,01.03.2017,Auhof,47.410562,8.57124
11,6,11,13646,11,12781,12,14849,12,14070,AGMüller,04.04.2017,Vereinigung,47.363255,8.521984
12,1,3,2627,0,2623,3,2627,0,2623,AGMüller,09.05.2017,Metzgerhalle,47.410034,8.546438
12,2,9,5435,1,4645,9,5435,1,4645,AGMüller,18.07.2017,Offene Rennbahn,47.40913,8.55095
12,3,12,8010,6,7374,14,8164,4,7620,Banner,16.08.2017,Piazza,47.37397,8.51459
12,4,15,10740,7,9372,15,10162,7,10350,Banner,16.11.2017,Schützenhaus ,47.35228,8.5084
12,5,16,13136,8,11768,17,12792,9,12980,Champion,20.12.2017,Zur Au,47.36018,8.52268
12,6,16,14665,8,13297,21,15358,13,15546,Champion,11.01.2018,Haldenbach,47.37997,8.54692
13,1,3,2588,0,2557,3,2588,0,2557,AGMüller,31.01.2018,Oberhof,47.37346,8.55347
13,2,3,4358,3,5074,6,5105,0,4327,Banner,21.02.2018,Rubina,47.38153,8.54833
13,3,3,6515,3,7231,10,7811,4,7033,Champion,29.03.2018,Valentin,47.38464,8.52979
13,4,6,9103,3,9282,13,10399,4,9084,AGMüller,19.04.2018,Transit,47.39239,8.49849
13,5,7,11490,5,11891,15,13008,5,11471,Banner,15.05.2018,Viadukt,47.38614,8.52203
13,6,12,14171,10,14572,16,15263,6,13726,Champion,05.06.2018,Café des Amis,47.38864,8.53611
14,1,1,2457,2,2720,2,2720,1,2457,Banner,18.07.2018,Rapido,47.40168,8.49896
14,2,1,4021,2,4284,5,5254,4,4991,Champion,21.08.2018,Bauschänzli,47.36786,8.54239
14,3,1,6072,5,6972,5,7305,7,7689,AGMüller,05.09.2018,Reithalle,47.37456,8.53455
14,4,2,8737,9,9555,9,9888,8,10347,Banner,23.10.2018,Ziegelhütte,47.39952,8.57276
14,5,4,11316,10,11729,11,12467,9,12521,AGMüller,13.11.2018,Zur alte Chäsi,47.42315,8.5431
14,6,5,13069,11,13482,16,15445,14,15499,Champion,12.12.2018,Landhus,47.42154,8.54938
15,1,0,2361,3,2818,0,2361,3,2818,AGMüller,08.01.2019,Bürgli,47.42287,8.54178
15,2,0,3832,8,5636,5,5179,3,4289,Banner,13.02.2019,Casino,47.38689,8.48984
15,3,5,6487,13,8291,5,7497,3,6607,Champion,26.03.2019,Utoburg,47.3616,8.51802
15,4,9,9158,17,10962,6,9832,4,8942,Champion,16.04.2019,Bei Champion Zuhause,47.34278,8.55251
15,5,14,11669,17,12676,6,11546,9,11453,Banner,21.05.2019,Turbinenhaus,47.39536,8.50542
15,6,14,14301,20,15238,6,14178,12,14015,AGMüller,01.07.2019,Gaul,47.38591,8.51817
16,1,0,1733,0,1733,4,3170,4,3170,Champion,20.08.2019,Limmathof,47.3875,8.52728
16,2,3,4292,0,3727,7,5729,4,5164,AGMüller,02.10.2019,Schnupf,47.38088,8.5262
16,3,6,6837,1,6019,8,7921,7,7709,Banner,23.10.2019,Eichhörnli,47.37969,8.52571
16,4,9,9358,1,8025,8,9927,10,10230,Banner,09.12.2019,Bederhof,47.36241,8.52666
16,5,13,11883,5,10550,8,11548,10,11821,Champion,07.01.2020,Schützenstube,47.40978,8.4968
16,6,13,13486,9,13313,8,13151,14,14584,AGMüller,05.02.2020,Grüntal,47.39313,8.52101
17,1,0,2116,0,2116,3,2585,3,2585,Champion,25.02.2020,La Casa,47.39018,8.54007
17,2,0,4079,4,4632,7,5101,3,4558,Banner,24.03.2020,Jassfederal.ch,47.34278,8.55251
17,3,0,5325,8,7144,7,6347,7,7060,AGMüller,12.04.2020,Jassfederal.ch,47.34278,8.55251
17,4,4,7890,8,8947,7,8150,11,9625,Banner,27.04.2020,Jassfederal.ch,47.34278,8.55251
17,5,4,10326,8,11383,10,10878,14,12353,Champion,11.05.2020,Jassfederal.ch,47.34278,8.55251
17,6,7,12913,8,13449,13,13465,14,14419,AGMüller,16.06.2020,Jassfederal.ch,47.34278,8.55251
18,1,1,2056,4,2628,4,2628,1,2056,Banner,08.07.2020,Kleine Freiheit,47.37921,8.54449
18,2,2,4661,7,5364,5,5233,4,4792,AGMüller,22.09.2020,Quartier 5,47.39381,8.51318
18,3,6,7161,7,7002,9,7733,4,6430,AGMüller,26.10.2020,Jassfederal.ch,47.34278,8.55251
18,4,6,9478,7,9319,12,10236,7,8933,Champion,17.12.2020,Schieber.ch,47.34278,8.55251
18,5,7,11627,8,11468,14,12753,9,11450,Champion,17.02.2021,Schieber.ch,47.34278,8.55251
18,6,7,13333,12,13977,18,14262,9,13156,Banner,27.09.2021,Streefoodfestival Hardturm,47.39295,8.50475
19,1,4,2639,0,2114,4,2639,0,2114,AGMüller,26.10.2021,Fork & Bottle,47.35223,8.5244
19,2,7,5313,1,4615,5,5140,3,4788,Banner,23.11.2021,Ey Hof,47.3685,8.49517
19,3,7,7736,1,7038,8,7777,6,7325,Champion,01.02.2022,Schieber.ch,47.34278,8.55251
